"Id","SalePrice"
1461,117080.489912916
1462,148921.665654491
1463,171541.91250292
1464,193304.924140108
1465,196157.951655393
1466,173969.813167008
1467,181083.991415039
1468,169858.501683744
1469,196179.674105496
1470,119209.828239949
1471,198118.967846819
1472,108857.60969665
1473,104098.793109346
1474,152416.351013074
1475,122698.258603012
1476,356155.051495814
1477,248134.348728134
1478,295905.927404391
1479,293328.462236909
1480,447519.754590712
1481,301265.993780317
1482,205317.637375937
1483,178357.125895976
1484,165505.562652662
1485,209639.811307527
1486,207538.429973527
1487,318312.574554703
1488,240759.313117745
1489,189258.449095766
1490,229042.854308391
1491,194712.107286567
1492,91886.5163591524
1493,193743.675814643
1494,315706.385982875
1495,289250.438124776
1496,216520.384556713
1497,173815.214252741
1498,163089.644824667
1499,174166.657902246
1500,161286.634277603
1501,168233.416726941
1502,162001.716426468
1503,276514.600971866
1504,256685.964639483
1505,225140.97927211
1506,189248.621515014
1507,243746.222203501
1508,193151.629969923
1509,159278.975082241
1510,137498.968522076
1511,144498.608840981
1512,175192.879634111
1513,155910.829181008
1514,147584.247190635
1515,191179.480165488
1516,149044.36825252
1517,165385.424099573
1518,134621.495222724
1519,216683.287589067
1520,130869.823633403
1521,127721.765530387
1522,189489.536722445
1523,104376.624660288
1524,118816.335823015
1525,110374.843381301
1526,103350.622679949
1527,108521.664230267
1528,143827.398889538
1529,137893.115945052
1530,173505.212346935
1531,110610.750966483
1532,104129.126654828
1533,151990.065754767
1534,135754.909984588
1535,156142.062690633
1536,110332.438030738
1537,65308.2626154945
1538,127399.888588226
1539,191625.334042038
1540,107707.661302908
1541,133286.480531338
1542,137907.338424244
1543,171538.064264612
1544,82176.7515519253
1545,105321.714964911
1546,141998.667760719
1547,127920.380472492
1548,122944.431274959
1549,109294.144581355
1550,130926.980860761
1551,121652.53250076
1552,131167.552565122
1553,140802.777307522
1554,125727.797517674
1555,158448.654600428
1556,178182
1557,98192.9951581021
1558,104474.334500511
1559,89694.4041392369
1560,141609.683193047
1561,127724.648591599
1562,137301.26476065
1563,120785.278509174
1564,161329.629546604
1565,147166.257905016
1566,220973.139036651
1567,83299.5584636196
1568,222683.878147156
1569,133948.823372042
1570,153507.475857737
1571,114044.875582666
1572,134214.398344302
1573,249487.363454517
1574,136766.406160205
1575,235009.980122969
1576,233282.463638398
1577,187127.337917384
1578,135025.549724179
1579,135276.519462524
1580,210795.317749401
1581,146047.040814776
1582,129144.079048938
1583,305196.507900428
1584,219801.386082365
1585,143550.059417438
1586,69746.6288925405
1587,101203.542161386
1588,137716.76823608
1589,97157.1537497077
1590,145280.512178061
1591,94918.4019439772
1592,120002.035372837
1593,134621.187603297
1594,127431.800852226
1595,117282.425420559
1596,219710.000173705
1597,173281.693656393
1598,213807.321514596
1599,179137.460046441
1600,177277.130596388
1601,74156.650727285
1602,130862.316281212
1603,75667.3113846533
1604,243731.658414585
1605,268642.019602306
1606,166185.814758532
1607,181701.358352355
1608,231344.530250437
1609,187119.234198884
1610,149619.19568201
1611,146599.801439176
1612,162997.896840984
1613,159159.080365486
1614,125455.094534387
1615,92626.9632330305
1616,88010.8704007641
1617,93380.3223271402
1618,126078.377443342
1619,136508.668267059
1620,172703.263577342
1621,139074.048009125
1622,135857.753045228
1623,260625.132701706
1624,207193.576675359
1625,113816.750148324
1626,171922.417040735
1627,192927.932920505
1628,293403.015623872
1629,193359.718838586
1630,313223.793562709
1631,218166.13584535
1632,224691.173557949
1633,187207.972516733
1634,187355.545127218
1635,188848.390501514
1636,164218.050492357
1637,188495.263226941
1638,185723.570959806
1639,177790.428068602
1640,261303.358847619
1641,194244.449708469
1642,248224.358659348
1643,233329.572499298
1644,242411.727138607
1645,220879.314219165
1646,166540.215258782
1647,178248.091620234
1648,130873.51698002
1649,135458.705526399
1650,107412.939298201
1651,121953.231580979
1652,117270.835397497
1653,115459.60617874
1654,148353.650269384
1655,153820.763902126
1656,148696.008791329
1657,149341.599271721
1658,145597.594992987
1659,124976.614367774
1660,149560.897228867
1661,446521.17768946
1662,392155.271811964
1663,351428.010998855
1664,512500.103979072
1665,292909.928836286
1666,310396.876192639
1667,354638.152387241
1668,335447.286325836
1669,297417.709759707
1670,341327.495660568
1671,256830.561273529
1672,440483.36864221
1673,290519.369334589
1674,244452.956856592
1675,180670.719254103
1676,183729.658543124
1677,203916.945432758
1678,416148.059191909
1679,353180.170668553
1680,297038.369764656
1681,229186.200294669
1682,283352.976437015
1683,177869.236239965
1684,185918.421051236
1685,182099.692712176
1686,173408.770649831
1687,191130.126665807
1688,203930.44631823
1689,202762.80219647
1690,217235.627057886
1691,206058.605790543
1692,281747.140155204
1693,193267.930570396
1694,192059.278512588
1695,181946.192484732
1696,285858.779586954
1697,186649.338976318
1698,349403.850009225
1699,339396.530590312
1700,234191.539222037
1701,273178.02961836
1702,249818.904526656
1703,249748.367702178
1704,280635.131066538
1705,232472.753602943
1706,430645.833254834
1707,208978.806642778
1708,198607.982768296
1709,279280.078035402
1710,229123.805873315
1711,264336.513542642
1712,260392.247967757
1713,282550.822463121
1714,232086.352906778
1715,216065.032074636
1716,181227.099066586
1717,181133.85968702
1718,139569.730068158
1719,205982.66789089
1720,271625.868003658
1721,176292.279396215
1722,129789.30069515
1723,163271.711591861
1724,211677.316748069
